"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time (LST)","Year","Month","Day","Time (LST)","Flag","Temp (°C)","Temp Flag","Dew Point Temp (°C)","Dew Point Temp Flag","Rel Hum (%)","Rel Hum Flag","Precip. Amount (mm)","Precip. Amount Flag","Wind Dir (10s deg)","Wind Dir Flag","Wind Spd (km/h)","Wind Spd Flag","Visibility (km)","Visibility Flag","Stn Press (kPa)","Stn Press Flag","Hmdx","Hmdx Flag","Wind Chill","Wind Chill Flag","Weather"
"-63.51","44.88","HALIFAX STANFIELD INT'L A","8202249","2025-01-01 10:00","2025","01","01","10:00","","0.0","","0.0","","100","","","M","13","","22","","","M","99.45","","","","-6","","NA"
"-63.51","44.88","HALIFAX STANFIELD INT'L A","8202249","2025-01-01 11:00","2025","01","01","11:00","","1.6","","1.6","","100","","","M","13","","21","","","M","99.37","","","","","","NA"
"-63.51","44.88","HALIFAX STANFIELD INT'L A","8202249","2025-01-01 12:00","2025","01","01","12:00","","1.7","","1.7","","100","","","M","11","","28","","","M","99.12","","","","","","NA"
"-63.51","44.88","HALIFAX STANFIELD INT'L A","8202249","2025-01-01 13:00","2025","01","01","13:00","","1.9","","1.9","","100","","","M","11","","25","","","M","98.98","","","","","","NA"
"-63.51","44.88","HALIFAX STANFIELD INT'L A","8202249","2025-01-01 14:00","2025","01","01","14:00","","2.3","","2.3","","100","","","M","11","","33","","","M","98.79","","","","","","NA"
"-63.51","44.88","HALIFAX STANFIELD INT'L A","8202249","2025-01-01 15:00","2025","01","01","15:00","","2.8","","2.8","","100","","","M","11","","27","","","M","98.66","","","","","","NA"
"-63.51","44.88","HALIFAX STANFIELD INT'L A","8202249","2025-01-01 16:00","2025","01","01","16:00","","3.0","","3.0","","100","","","M","11","","30","","","M","98.58","","","","","","NA"
"-63.51","44.88","HALIFAX STANFIELD INT'L A","8202249","2025-01-01 17:00","2025","01","01","17:00","","3.7","","3.7","","100","","","M","11","","30","","","M","98.36","","","","","","NA"
"-63.51","44.88","HALIFAX STANFIELD INT'L A","8202249","2025-01-01 18:00","2025","01","01","18:00","","3.1","","3.1","","100","","","M","12","","33","","","M","98.33","","","","","","NA"
"-63.51","44.88","HALIFAX STANFIELD INT'L A","8202249","2025-01-01 19:00","2025","01","01","19:00","","3.2","","3.2","","100","","","M","11","","36","","","M","98.01","","","","","","NA"
"-63.51","44.88","HALIFAX STANFIELD INT'L A","8202249","2025-01-01 20:00","2025","01","01","20:00","","4.0","","4.0","","100","","","M","12","","31","","","M","97.84","","","","","","NA"
"-63.51","44.88","HALIFAX STANFIELD INT'L A","8202249","2025-01-01 21:00","2025","01","01","21:00","","4.9","","4.9","","100","","","M","13","","28","","","M","97.74","","","","","","NA"
"-63.51","44.88","HALIFAX STANFIELD INT'L A","8202249","2025-01-01 22:00","2025","01","01","22:00","","5.8","","5.8","","100","","","M","13","","20","","","M","97.64","","","","","","NA"
"-63.51","44.88","HALIFAX STANFIELD INT'L A","8202249","2025-01-01 23:00","2025","01","01","23:00","","6.1","","6.1","","100","","","M","16","","13","","","M","97.56","","","","","","NA"
"-63.51","44.88","HALIFAX STANFIELD INT'L A","8202249","2025-01-02 00:00","2025","01","02","00:00","","5.5","","5.5","","100","","","M","19","","22","","","M","97.52","","","","","","NA"
"-63.51","44.88","HALIFAX STANFIELD INT'L A","8202249","2025-01-02 01:00","2025","01","02","01:00","","5.0","","5.0","","100","","","M","20","","18","","","M","97.51","","","","","","NA"
"-63.51","44.88","HALIFAX STANFIELD INT'L A","8202249","2025-01-02 02:00","2025","01","02","02:00","","5.1","","5.1","","100","","","M","20","","22","","","M","97.43","","","","","","NA"
"-63.51","44.88","HALIFAX STANFIELD INT'L A","8202249","2025-01-02 03:00","2025","01","02","03:00","","4.9","","4.9","","100","","","M","20","","22","","","M","97.37","","","","","","NA"
"-63.51","44.88","HALIFAX STANFIELD INT'L A","8202249","2025-01-02 04:00","2025","01","02","04:00","","4.8","","4.8","","100","","","M","20","","27","","","M","97.32","","","","","","NA"
"-63.51","44.88","HALIFAX STANFIELD INT'L A","8202249","2025-01-02 05:00","2025","01","02","05:00","","4.4","","4.4","","100","","","M","19","","27","","","M","97.31","","","","","","NA"
"-63.51","44.88","HALIFAX STANFIELD INT'L A","8202249","2025-01-02 06:00","2025","01","02","06:00","","3.9","","3.9","","100","","","M","19","","31","","","M","97.28","","","","","","NA"
"-63.51","44.88","HALIFAX STANFIELD INT'L A","8202249","2025-01-02 07:00","2025","01","02","07:00","","4.0","","4.0","","100","","","M","20","","21","","","M","97.29","","","","","","NA"
"-63.51","44.88","HALIFAX STANFIELD INT'L A","8202249","2025-01-02 08:00","2025","01","02","08:00","","3.8","","3.8","","100","","","M","21","","28","","","M","97.27","","","","","","NA"
"-63.51","44.88","HALIFAX STANFIELD INT'L A","8202249","2025-01-02 09:00","2025","01","02","09:00","","3.8","","3.5","","98","","","M","21","","26","","","M","97.29","","","","","","NA"
"-63.51","44.88","HALIFAX STANFIELD INT'L A","8202249","2025-01-02 10:00","2025","01","02","10:00","","3.8","","3.5","","98","","","M","22","","24","","","M","97.35","","","","","","NA"
"-63.51","44.88","HALIFAX STANFIELD INT'L A","8202249","2025-01-02 11:00","2025","01","02","11:00","","3.7","","3.0","","95","","","M","21","","26","","","M","97.37","","","","","","NA"
"-63.51","44.88","HALIFAX STANFIELD INT'L A","8202249","2025-01-02 12:00","2025","01","02","12:00","","3.4","","2.5","","94","","","M","22","","22","","","M","97.33","","","","","","NA"
"-63.51","44.88","HALIFAX STANFIELD INT'L A","8202249","2025-01-02 13:00","2025","01","02","13:00","","3.1","","2.4","","95","","","M","22","","27","","","M","97.31","","","","","","NA"
"-63.51","44.88","HALIFAX STANFIELD INT'L A","8202249","2025-01-02 14:00","2025","01","02","14:00","","2.9","","1.8","","93","","","M","23","","29","","","M","97.32","","","","","","NA"
"-63.51","44.88","HALIFAX STANFIELD INT'L A","8202249","2025-01-02 15:00","2025","01","02","15:00","","2.2","","1.2","","93","","","M","23","","27","","","M","97.38","","","","","","NA"
"-63.51","44.88","HALIFAX STANFIELD INT'L A","8202249","2025-01-02 16:00","2025","01","02","16:00","","2.1","","1.1","","93","","","M","23","","22","","","M","97.45","","","","","","NA"
"-63.51","44.88","HALIFAX STANFIELD INT'L A","8202249","2025-01-02 17:00","2025","01","02","17:00","","1.6","","-0.2","","88","","","M","23","","26","","","M","97.50","","","","","","NA"
"-63.51","44.88","HALIFAX STANFIELD INT'L A","8202249","2025-01-02 18:00","2025","01","02","18:00","","1.4","","-0.1","","90","","","M","22","","29","","","M","97.55","","","","","","NA"
"-63.51","44.88","HALIFAX STANFIELD INT'L A","8202249","2025-01-02 19:00","2025","01","02","19:00","","1.2","","-0.7","","87","","","M","22","","33","","","M","97.61","","","","","","NA"
"-63.51","44.88","HALIFAX STANFIELD INT'L A","8202249","2025-01-02 20:00","2025","01","02","20:00","","0.8","","-1.2","","86","","","M","23","","33","","","M","97.62","","","","","","NA"
"-63.51","44.88","HALIFAX STANFIELD INT'L A","8202249","2025-01-02 21:00","2025","01","02","21:00","","0.8","","-1.4","","85","","","M","24","","25","","","M","97.64","","","","","","NA"
"-63.51","44.88","HALIFAX STANFIELD INT'L A","8202249","2025-01-02 22:00","2025","01","02","22:00","","1.0","","-2.1","","80","","","M","23","","32","","","M","97.65","","","","","","NA"
"-63.51","44.88","HALIFAX STANFIELD INT'L A","8202249","2025-01-02 23:00","2025","01","02","23:00","","0.5","","-2.3","","82","","","M","23","","26","","","M","97.70","","","","","","NA"
"-63.51","44.88","HALIFAX STANFIELD INT'L A","8202249","2025-01-03 00:00","2025","01","03","00:00","","0.2","","-2.9","","80","","","M","25","","27","","","M","97.69","","","","","","NA"
"-63.51","44.88","HALIFAX STANFIELD INT'L A","8202249","2025-01-03 01:00","2025","01","03","01:00","","0.0","","-3.5","","77","","","M","24","","28","","","M","97.69","","","","-6","","NA"
"-63.51","44.88","HALIFAX STANFIELD INT'L A","8202249","2025-01-03 02:00","2025","01","03","02:00","","-0.6","","-2.8","","85","","","M","23","","21","","","M","97.71","","","","-6","","NA"
"-63.51","44.88","HALIFAX STANFIELD INT'L A","8202249","2025-01-03 03:00","2025","01","03","03:00","","-1.1","","-2.8","","88","","","M","23","","28","","","M","97.71","","","","-8","","NA"
"-63.51","44.88","HALIFAX STANFIELD INT'L A","8202249","2025-01-03 04:00","2025","01","03","04:00","","-1.1","","-2.1","","93","","","M","22","","25","","","M","97.67","","","","-7","","NA"
"-63.51","44.88","HALIFAX STANFIELD INT'L A","8202249","2025-01-03 05:00","2025","01","03","05:00","","-1.0","","-2.6","","89","","","M","23","","30","","","M","97.64","","","","-8","","NA"
"-63.51","44.88","HALIFAX STANFIELD INT'L A","8202249","2025-01-03 06:00","2025","01","03","06:00","","-1.3","","-3.1","","87","","","M","24","","31","","","M","97.64","","","","-8","","NA"
"-63.51","44.88","HALIFAX STANFIELD INT'L A","8202249","2025-01-03 07:00","2025","01","03","07:00","","-1.7","","-3.9","","85","","","M","24","","26","","","M","97.65","","","","-8","","NA"
"-63.51","44.88","HALIFAX STANFIELD INT'L A","8202249","2025-01-03 08:00","2025","01","03","08:00","","-2.4","","-6.0","","77","","","M","25","","32","","","M","97.70","","","","-10","","NA"
"-63.51","44.88","HALIFAX STANFIELD INT'L A","8202249","2025-01-03 09:00","2025","01","03","09:00","","-2.3","","-5.9","","77","","","M","24","","32","","","M","97.76","","","","-10","","NA"
"-63.51","44.88","HALIFAX STANFIELD INT'L A","8202249","2025-01-03 10:00","2025","01","03","10:00","","-2.2","","-4.9","","81","","","M","25","","26","","","M","97.80","","","","-9","","NA"
"-63.51","44.88","HALIFAX STANFIELD INT'L A","8202249","2025-01-03 11:00","2025","01","03","11:00","","-2.0","","-6.6","","71","","","M","25","","38","","","M","97.80","","","","-10","","NA"
"-63.51","44.88","HALIFAX STANFIELD INT'L A","8202249","2025-01-03 12:00","2025","01","03","12:00","","-1.7","","-6.2","","71","","","M","25","","35","","","M","97.71","","","","-9","","NA"
"-63.51","44.88","HALIFAX STANFIELD INT'L A","8202249","2025-01-03 13:00","2025","01","03","13:00","","-1.4","","-6.3","","69","","","M","25","","37","","","M","97.69","","","","-9","","NA"
"-63.51","44.88","HALIFAX STANFIELD INT'L A","8202249","2025-01-03 14:00","2025","01","03","14:00","","-1.5","","-6.2","","71","","","M","25","","34","","","M","97.70","","","","-9","","NA"
"-63.51","44.88","HALIFAX STANFIELD INT'L A","8202249","2025-01-03 15:00","2025","01","03","15:00","","-1.8","","-6.1","","72","","","M","27","","21","","","M","97.78","","","","-8","","NA"
"-63.51","44.88","HALIFAX STANFIELD INT'L A","8202249","2025-01-03 16:00","2025","01","03","16:00","","-1.6","","-6.7","","68","","","M","25","","26","","","M","97.86","","","","-8","","NA"
"-63.51","44.88","HALIFAX STANFIELD INT'L A","8202249","2025-01-03 17:00","2025","01","03","17:00","","-1.5","","-6.9","","67","","","M","24","","25","","","M","97.91","","","","-8","","NA"
"-63.51","44.88","HALIFAX STANFIELD INT'L A","8202249","2025-01-03 18:00","2025","01","03","18:00","","-1.7","","-7.2","","66","","","M","24","","26","","","M","97.96","","","","-8","","NA"
"-63.51","44.88","HALIFAX STANFIELD INT'L A","8202249","2025-01-03 19:00","2025","01","03","19:00","","-1.5","","-6.6","","68","","","M","23","","25","","","M","98.00","","","","-8","","NA"
"-63.51","44.88","HALIFAX STANFIELD INT'L A","8202249","2025-01-03 20:00","2025","01","03","20:00","","-1.5","","-5.9","","72","","","M","24","","24","","","M","98.03","","","","-8","","NA"
"-63.51","44.88","HALIFAX STANFIELD INT'L A","8202249","2025-01-03 21:00","2025","01","03","21:00","","-1.4","","-6.9","","67","","","M","25","","26","","","M","98.07","","","","-8","","NA"
"-63.51","44.88","HALIFAX STANFIELD INT'L A","8202249","2025-01-03 22:00","2025","01","03","22:00","","-1.6","","-7.6","","64","","","M","24","","22","","","M","98.12","","","","-8","","NA"
"-63.51","44.88","HALIFAX STANFIELD INT'L A","8202249","2025-01-03 23:00","2025","01","03","23:00","","-1.8","","-7.9","","63","","","M","24","","27","","","M","98.14","","","","-8","","NA"
"-63.51","44.88","HALIFAX STANFIELD INT'L A","8202249","2025-01-04 00:00","2025","01","04","00:00","","-2.7","","-8.8","","63","","","M","25","","30","","","M","98.16","","","","-10","","NA"
"-63.51","44.88","HALIFAX STANFIELD INT'L A","8202249","2025-01-04 01:00","2025","01","04","01:00","","-3.2","","-9.2","","63","","","M","25","","22","","","M","98.10","","","","-10","","NA"
"-63.51","44.88","HALIFAX STANFIELD INT'L A","8202249","2025-01-04 02:00","2025","01","04","02:00","","-4.0","","-9.9","","63","","","M","23","","18","","","M","98.13","","","","-10","","NA"
"-63.51","44.88","HALIFAX STANFIELD INT'L A","8202249","2025-01-04 03:00","2025","01","04","03:00","","-4.3","","-10.2","","64","","","M","23","","18","","","M","98.12","","","","-10","","NA"
"-63.51","44.88","HALIFAX STANFIELD INT'L A","8202249","2025-01-04 04:00","2025","01","04","04:00","","-4.8","","-10.0","","67","","","M","21","","16","","","M","98.12","","","","-11","","NA"
"-63.51","44.88","HALIFAX STANFIELD INT'L A","8202249","2025-01-04 05:00","2025","01","04","05:00","","-5.5","","-10.1","","70","","","M","20","","12","","","M","98.12","","","","-10","","NA"
"-63.51","44.88","HALIFAX STANFIELD INT'L A","8202249","2025-01-04 06:00","2025","01","04","06:00","","-5.8","","-9.8","","74","","","M","20","","12","","","M","98.12","","","","-11","","NA"
"-63.51","44.88","HALIFAX STANFIELD INT'L A","8202249","2025-01-04 07:00","2025","01","04","07:00","","-4.3","","-9.5","","67","","","M","21","","13","","","M","98.18","","","","-9","","NA"
"-63.51","44.88","HALIFAX STANFIELD INT'L A","8202249","2025-01-04 08:00","2025","01","04","08:00","","-4.1","","-8.8","","70","","","M","21","","12","","","M","98.22","","","","-9","","NA"
"-63.51","44.88","HALIFAX STANFIELD INT'L A","8202249","2025-01-04 09:00","2025","01","04","09:00","","-3.0","","-9.6","","60","","","M","23","","16","","","M","98.26","","","","-8","","NA"
"-63.51","44.88","HALIFAX STANFIELD INT'L A","8202249","2025-01-04 10:00","2025","01","04","10:00","","-2.4","","-9.0","","61","","","M","25","","18","","","M","98.28","","","","-8","","NA"
"-63.51","44.88","HALIFAX STANFIELD INT'L A","8202249","2025-01-04 11:00","2025","01","04","11:00","","-0.9","","-8.8","","55","","","M","25","","18","","","M","98.21","","","","-6","","NA"
"-63.51","44.88","HALIFAX STANFIELD INT'L A","8202249","2025-01-04 12:00","2025","01","04","12:00","","-1.4","","-10.0","","52","","","M","28","","15","","","M","98.10","","","","-6","","NA"
"-63.51","44.88","HALIFAX STANFIELD INT'L A","8202249","2025-01-04 13:00","2025","01","04","13:00","","-0.6","","-9.7","","51","","","M","26","","10","","","M","98.06","","","","-4","","NA"
"-63.51","44.88","HALIFAX STANFIELD INT'L A","8202249","2025-01-04 14:00","2025","01","04","14:00","","-0.8","","-9.9","","51","","","M","29","","8","","","M","97.98","","","","-4","","NA"
"-63.51","44.88","HALIFAX STANFIELD INT'L A","8202249","2025-01-04 15:00","2025","01","04","15:00","","-1.1","","-9.3","","54","","","M","28","","17","","","M","97.94","","","","-6","","NA"
"-63.51","44.88","HALIFAX STANFIELD INT'L A","8202249","2025-01-04 16:00","2025","01","04","16:00","","-2.5","","-8.4","","64","","","M","31","","23","","","M","97.88","","","","-9","","NA"
"-63.51","44.88","HALIFAX STANFIELD INT'L A","8202249","2025-01-04 17:00","2025","01","04","17:00","","-4.0","","-8.6","","70","","","M","32","","16","","","M","98.01","","","","-10","","NA"
"-63.51","44.88","HALIFAX STANFIELD INT'L A","8202249","2025-01-04 18:00","2025","01","04","18:00","","-5.0","","-9.0","","74","","","M","33","","13","","","M","98.16","","","","-10","","NA"
"-63.51","44.88","HALIFAX STANFIELD INT'L A","8202249","2025-01-04 19:00","2025","01","04","19:00","","-5.8","","-8.5","","82","","","M","32","","13","","","M","98.24","","","","-11","","NA"
"-63.51","44.88","HALIFAX STANFIELD INT'L A","8202249","2025-01-04 20:00","2025","01","04","20:00","","-6.6","","-9.5","","80","","","M","29","","11","","","M","98.25","","","","-12","","NA"
"-63.51","44.88","HALIFAX STANFIELD INT'L A","8202249","2025-01-04 21:00","2025","01","04","21:00","","-7.0","","-8.9","","86","","","M","32","","12","","","M","98.25","","","","-12","","NA"
"-63.51","44.88","HALIFAX STANFIELD INT'L A","8202249","2025-01-04 22:00","2025","01","04","22:00","","-7.5","","-9.6","","86","","","M","33","","18","","","M","98.23","","","","-14","","NA"
"-63.51","44.88","HALIFAX STANFIELD INT'L A","8202249","2025-01-04 23:00","2025","01","04","23:00","","-8.3","","-11.1","","80","","","M","32","","22","","","M","98.23","","","","-16","","NA"
"-63.51","44.88","HALIFAX STANFIELD INT'L A","8202249","2025-01-05 00:00","2025","01","05","00:00","","-9.2","","-12.3","","78","","","M","33","","23","","","M","98.22","","","","-17","","NA"
"-63.51","44.88","HALIFAX STANFIELD INT'L A","8202249","2025-01-05 01:00","2025","01","05","01:00","","-10.1","","-13.1","","79","","","M","33","","22","","","M","98.21","","","","-18","","NA"
"-63.51","44.88","HALIFAX STANFIELD INT'L A","8202249","2025-01-05 02:00","2025","01","05","02:00","","-10.8","","-13.9","","78","","","M","34","","21","","","M","98.22","","","","-19","","NA"
"-63.51","44.88","HALIFAX STANFIELD INT'L A","8202249","2025-01-05 03:00","2025","01","05","03:00","","-11.4","","-13.9","","82","","","M","33","","14","","","M","98.24","","","","-18","","NA"
"-63.51","44.88","HALIFAX STANFIELD INT'L A","8202249","2025-01-05 04:00","2025","01","05","04:00","","-11.2","","-13.2","","86","","","M","33","","19","","","M","98.22","","","","-19","","NA"
"-63.51","44.88","HALIFAX STANFIELD INT'L A","8202249","2025-01-05 05:00","2025","01","05","05:00","","-11.3","","-12.9","","89","","","M","33","","22","","","M","98.23","","","","-20","","NA"
"-63.51","44.88","HALIFAX STANFIELD INT'L A","8202249","2025-01-05 06:00","2025","01","05","06:00","","-11.0","","-12.7","","87","","","M","33","","27","","","M","98.25","","","","-20","","NA"
"-63.51","44.88","HALIFAX STANFIELD INT'L A","8202249","2025-01-05 07:00","2025","01","05","07:00","","-11.4","","-13.5","","85","","","M","32","","19","","","M","98.26","","","","-19","","NA"
"-63.51","44.88","HALIFAX STANFIELD INT'L A","8202249","2025-01-05 08:00","2025","01","05","08:00","","-12.2","","-14.7","","81","","","M","31","","23","","","M","98.23","","","","-21","","NA"
"-63.51","44.88","HALIFAX STANFIELD INT'L A","8202249","2025-01-05 09:00","2025","01","05","09:00","","-11.4","","-13.7","","84","","","M","29","","26","","","M","98.25","","","","-21","","NA"
"-63.51","44.88","HALIFAX STANFIELD INT'L A","8202249","2025-01-05 10:00","2025","01","05","10:00","","-10.9","","-14.7","","74","","","M","32","","40","","","M","98.19","","","","-22","","NA"
"-63.51","44.88","HALIFAX STANFIELD INT'L A","8202249","2025-01-05 11:00","2025","01","05","11:00","","-10.5","","-14.5","","73","","","M","30","","32","","","M","98.13","","","","-20","","NA"
"-63.51","44.88","HALIFAX STANFIELD INT'L A","8202249","2025-01-05 12:00","2025","01","05","12:00","","-9.8","","-14.2","","70","","","M","28","","38","","","M","97.99","","","","-20","","NA"
"-63.51","44.88","HALIFAX STANFIELD INT'L A","8202249","2025-01-05 13:00","2025","01","05","13:00","","-10.1","","-14.5","","71","","","M","29","","32","","","M","97.90","","","","-20","","NA"
"-63.51","44.88","HALIFAX STANFIELD INT'L A","8202249","2025-01-05 14:00","2025","01","05","14:00","","-9.9","","-14.3","","70","","","M","30","","32","","","M","97.83","","","","-20","","NA"
"-63.51","44.88","HALIFAX STANFIELD INT'L A","8202249","2025-01-05 15:00","2025","01","05","15:00","","-9.5","","-13.4","","73","","","M","30","","34","","","M","97.78","","","","-19","","NA"
"-63.51","44.88","HALIFAX STANFIELD INT'L A","8202249","2025-01-05 16:00","2025","01","05","16:00","","-9.7","","-13.2","","76","","","M","29","","42","","","M","97.75","","","","-21","","NA"
"-63.51","44.88","HALIFAX STANFIELD INT'L A","8202249","2025-01-05 17:00","2025","01","05","17:00","","-9.7","","-12.7","","79","","","M","29","","28","","","M","97.74","","","","-19","","NA"
"-63.51","44.88","HALIFAX STANFIELD INT'L A","8202249","2025-01-05 18:00","2025","01","05","18:00","","-9.2","","-11.8","","82","","","M","30","","35","","","M","97.71","","","","-19","","NA"
"-63.51","44.88","HALIFAX STANFIELD INT'L A","8202249","2025-01-05 19:00","2025","01","05","19:00","","-8.3","","-10.8","","82","","","M","30","","35","","","M","97.68","","","","-18","","NA"
"-63.51","44.88","HALIFAX STANFIELD INT'L A","8202249","2025-01-05 20:00","2025","01","05","20:00","","-8.5","","-10.9","","82","","","M","30","","41","","","M","97.65","","","","-19","","NA"
"-63.51","44.88","HALIFAX STANFIELD INT'L A","8202249","2025-01-05 21:00","2025","01","05","21:00","","-8.7","","-10.6","","86","","","M","30","","36","","","M","97.65","","","","-19","","NA"
"-63.51","44.88","HALIFAX STANFIELD INT'L A","8202249","2025-01-05 22:00","2025","01","05","22:00","","-9.1","","-10.8","","88","","","M","30","","32","","","M","97.58","","","","-19","","NA"
"-63.51","44.88","HALIFAX STANFIELD INT'L A","8202249","2025-01-05 23:00","2025","01","05","23:00","","-9.3","","-10.9","","88","","","M","30","","39","","","M","97.54","","","","-20","","NA"
"-63.51","44.88","HALIFAX STANFIELD INT'L A","8202249","2025-01-06 00:00","2025","01","06","00:00","","-9.4","","-11.2","","86","","","M","30","","36","","","M","97.45","","","","-20","","NA"
"-63.51","44.88","HALIFAX STANFIELD INT'L A","8202249","2025-01-06 01:00","2025","01","06","01:00","","-9.1","","-11.0","","86","","","M","30","","39","","","M","97.42","","","","-19","","NA"
"-63.51","44.88","HALIFAX STANFIELD INT'L A","8202249","2025-01-06 02:00","2025","01","06","02:00","","-8.8","","-10.8","","86","","","M","30","","36","","","M","97.42","","","","-19","","NA"
"-63.51","44.88","HALIFAX STANFIELD INT'L A","8202249","2025-01-06 03:00","2025","01","06","03:00","","-8.7","","-10.8","","85","","","M","29","","45","","","M","97.45","","","","-20","","NA"
"-63.51","44.88","HALIFAX STANFIELD INT'L A","8202249","2025-01-06 04:00","2025","01","06","04:00","","-8.3","","-10.5","","84","","","M","30","","43","","","M","97.48","","","","-19","","NA"
"-63.51","44.88","HALIFAX STANFIELD INT'L A","8202249","2025-01-06 05:00","2025","01","06","05:00","","-8.2","","-10.4","","84","","","M","29","","37","","","M","97.54","","","","-18","","NA"
"-63.51","44.88","HALIFAX STANFIELD INT'L A","8202249","2025-01-06 06:00","2025","01","06","06:00","","-8.5","","-10.7","","84","","","M","30","","41","","","M","97.53","","","","-19","","NA"
"-63.51","44.88","HALIFAX STANFIELD INT'L A","8202249","2025-01-06 07:00","2025","01","06","07:00","","-8.5","","-10.7","","84","","","M","31","","34","","","M","97.57","","","","-18","","NA"
"-63.51","44.88","HALIFAX STANFIELD INT'L A","8202249","2025-01-06 08:00","2025","01","06","08:00","","-8.3","","-10.4","","85","","","M","30","","40","","","M","97.59","","","","-18","","NA"
"-63.51","44.88","HALIFAX STANFIELD INT'L A","8202249","2025-01-06 09:00","2025","01","06","09:00","","-7.9","","-9.9","","85","","","M","31","","38","","","M","97.61","","","","-18","","NA"
"-63.51","44.88","HALIFAX STANFIELD INT'L A","8202249","2025-01-06 10:00","2025","01","06","10:00","","-7.2","","-9.5","","84","","","M","30","","47","","","M","97.59","","","","-18","","NA"
"-63.51","44.88","HALIFAX STANFIELD INT'L A","8202249","2025-01-06 11:00","2025","01","06","11:00","","-6.5","","-9.4","","80","","","M","30","","46","","","M","97.57","","","","-17","","NA"
"-63.51","44.88","HALIFAX STANFIELD INT'L A","8202249","2025-01-06 12:00","2025","01","06","12:00","","-5.5","","-8.9","","77","","","M","30","","37","","","M","97.55","","","","-14","","NA"
"-63.51","44.88","HALIFAX STANFIELD INT'L A","8202249","2025-01-06 13:00","2025","01","06","13:00","","-5.8","","-9.0","","78","","","M","29","","34","","","M","97.59","","","","-15","","NA"
"-63.51","44.88","HALIFAX STANFIELD INT'L A","8202249","2025-01-06 14:00","2025","01","06","14:00","","-5.6","","-8.9","","77","","","M","28","","22","","","M","97.64","","","","-13","","NA"
"-63.51","44.88","HALIFAX STANFIELD INT'L A","8202249","2025-01-06 15:00","2025","01","06","15:00","","-5.7","","-8.8","","79","","","M","29","","34","","","M","97.64","","","","-14","","NA"
"-63.51","44.88","HALIFAX STANFIELD INT'L A","8202249","2025-01-06 16:00","2025","01","06","16:00","","-5.8","","-8.7","","80","","","M","29","","21","","","M","97.65","","","","-13","","NA"
"-63.51","44.88","HALIFAX STANFIELD INT'L A","8202249","2025-01-06 17:00","2025","01","06","17:00","","-5.5","","-8.6","","79","","","M","30","","26","","","M","97.69","","","","-13","","NA"
"-63.51","44.88","HALIFAX STANFIELD INT'L A","8202249","2025-01-06 18:00","2025","01","06","18:00","","-5.5","","-8.6","","79","","","M","29","","22","","","M","97.71","","","","-13","","NA"
"-63.51","44.88","HALIFAX STANFIELD INT'L A","8202249","2025-01-06 19:00","2025","01","06","19:00","","-5.8","","-8.8","","79","","","M","26","","24","","","M","97.79","","","","-13","","NA"
