Route,Direction,Weekday,Service Day,Branch,Month,Hour,Average Headway,Actual Gap,Additional Time due to Missing Service,% Additional Time due to Missing Service,Waiting Time as Experienced,Additional Time due to Bunching,% Additional Time due to Bunching,Schedule Adherence,Dwell Time at Stops,Stops Served,Total Dwell Time,Branch_Direction,Weekday_Hour,previous_bus_delay
1-Spring Garden,East,Tuesday,Full service,1 To Bridge Terminal,January,5,583,594,11,0.02,622,28,0.05,65,5,278,1390,1 To Bridge Terminal_East,Tuesday_5,
1-Spring Garden,East,Tuesday,Full service,1 To Bridge Terminal,January,6,590,608,18,0.03,611,3,0.01,683,2,203,406,1 To Bridge Terminal_East,Tuesday_6,65.0
1-Spring Garden,East,Tuesday,Full service,1 To Bridge Terminal,January,7,289,1155,866,3.0,1413,258,0.89,490,11,243,2673,1 To Bridge Terminal_East,Tuesday_7,683.0
1-Spring Garden,East,Tuesday,Full service,1 To Bridge Terminal,January,8,298,300,2,0.01,667,367,1.23,470,12,232,2784,1 To Bridge Terminal_East,Tuesday_8,490.0
1-Spring Garden,East,Tuesday,Full service,1 To Bridge Terminal,January,9,280,323,43,0.15,653,330,1.18,571,8,447,3576,1 To Bridge Terminal_East,Tuesday_9,470.0
1-Spring Garden,East,Tuesday,Full service,1 To Bridge Terminal,January,10,595,700,105,0.18,741,41,0.07,118,6,226,1356,1 To Bridge Terminal_East,Tuesday_10,571.0
1-Spring Garden,East,Tuesday,Full service,1 To Bridge Terminal,January,11,622,1320,698,1.12,1372,52,0.08,113,5,287,1435,1 To Bridge Terminal_East,Tuesday_11,118.0
1-Spring Garden,East,Tuesday,Full service,1 To Bridge Terminal,January,12,630,1293,663,1.05,1343,50,0.08,22,4,232,928,1 To Bridge Terminal_East,Tuesday_12,113.0
1-Spring Garden,East,Tuesday,Full service,1 To Bridge Terminal,January,13,606,612,6,0.01,636,24,0.04,509,6,160,960,1 To Bridge Terminal_East,Tuesday_13,22.0
1-Spring Garden,East,Tuesday,Full service,1 To Bridge Terminal,January,14,598,638,40,0.07,657,19,0.03,142,2,210,420,1 To Bridge Terminal_East,Tuesday_14,509.0
1-Spring Garden,East,Tuesday,Full service,1 To Bridge Terminal,January,15,621,655,34,0.05,684,29,0.05,201,2,249,498,1 To Bridge Terminal_East,Tuesday_15,142.0
1-Spring Garden,East,Tuesday,Full service,1 To Bridge Terminal,January,16,321,334,13,0.04,733,399,1.24,249,11,382,4202,1 To Bridge Terminal_East,Tuesday_16,201.0
1-Spring Garden,East,Tuesday,Full service,1 To Bridge Terminal,January,17,276,303,27,0.1,527,224,0.81,530,11,286,3146,1 To Bridge Terminal_East,Tuesday_17,249.0
1-Spring Garden,East,Tuesday,Full service,1 To Bridge Terminal,January,18,277,288,11,0.04,482,194,0.7,421,10,246,2460,1 To Bridge Terminal_East,Tuesday_18,530.0
1-Spring Garden,East,Tuesday,Full service,1 To Bridge Terminal,January,19,572,670,98,0.17,702,32,0.06,7,5,157,785,1 To Bridge Terminal_East,Tuesday_19,421.0
1-Spring Garden,East,Tuesday,Full service,1 To Bridge Terminal,January,20,592,623,31,0.05,658,35,0.06,128,6,247,1482,1 To Bridge Terminal_East,Tuesday_20,7.0
1-Spring Garden,East,Tuesday,Full service,1 To Bridge Terminal,January,21,594,614,20,0.03,666,52,0.09,126,2,211,422,1 To Bridge Terminal_East,Tuesday_21,128.0
1-Spring Garden,East,Tuesday,Full service,1 To Bridge Terminal,January,22,617,629,12,0.02,670,41,0.07,474,3,178,534,1 To Bridge Terminal_East,Tuesday_22,126.0
1-Spring Garden,East,Tuesday,Full service,1 To Bridge Terminal,January,23,571,641,70,0.12,675,34,0.06,61,2,218,436,1 To Bridge Terminal_East,Tuesday_23,474.0
1-Spring Garden,East,Wednesday,Full service,1 Spring Garden,January,5,614,617,3,0.0,655,38,0.06,123,2,277,554,1 Spring Garden_East,Wednesday_5,
1-Spring Garden,East,Wednesday,Full service,1 Spring Garden,January,6,619,697,78,0.13,726,29,0.05,125,3,199,597,1 Spring Garden_East,Wednesday_6,123.0
1-Spring Garden,East,Wednesday,Full service,1 Spring Garden,January,7,326,580,254,0.78,905,325,1.0,248,7,355,2485,1 Spring Garden_East,Wednesday_7,125.0
1-Spring Garden,East,Wednesday,Full service,1 Spring Garden,January,8,317,324,7,0.02,580,256,0.81,566,8,384,3072,1 Spring Garden_East,Wednesday_8,248.0
1-Spring Garden,East,Wednesday,Full service,1 Spring Garden,January,9,323,330,7,0.02,459,129,0.4,455,8,409,3272,1 Spring Garden_East,Wednesday_9,566.0
1-Spring Garden,East,Wednesday,Full service,1 Spring Garden,January,10,629,1123,494,0.79,1145,22,0.03,105,5,265,1325,1 Spring Garden_East,Wednesday_10,455.0
1-Spring Garden,East,Wednesday,Full service,1 Spring Garden,January,11,574,1412,838,1.46,1453,41,0.07,-35,4,293,1172,1 Spring Garden_East,Wednesday_11,105.0
1-Spring Garden,East,Wednesday,Full service,1 Spring Garden,January,12,571,597,26,0.05,635,38,0.07,116,3,210,630,1 Spring Garden_East,Wednesday_12,-35.0
1-Spring Garden,East,Wednesday,Full service,1 Spring Garden,January,13,607,1402,795,1.31,1424,22,0.04,-2,2,263,526,1 Spring Garden_East,Wednesday_13,116.0
1-Spring Garden,East,Wednesday,Full service,1 Spring Garden,January,14,592,602,10,0.02,647,45,0.08,59,3,200,600,1 Spring Garden_East,Wednesday_14,-2.0
1-Spring Garden,East,Wednesday,Full service,1 Spring Garden,January,15,628,647,19,0.03,694,47,0.07,-35,4,163,652,1 Spring Garden_East,Wednesday_15,59.0
1-Spring Garden,East,Wednesday,Full service,1 Spring Garden,January,16,327,368,41,0.13,698,330,1.01,261,7,288,2016,1 Spring Garden_East,Wednesday_16,-35.0
1-Spring Garden,East,Wednesday,Full service,1 Spring Garden,January,17,285,1051,766,2.69,1325,274,0.96,142,11,310,3410,1 Spring Garden_East,Wednesday_17,261.0
1-Spring Garden,East,Wednesday,Full service,1 Spring Garden,January,18,279,807,528,1.89,1075,268,0.96,371,7,322,2254,1 Spring Garden_East,Wednesday_18,142.0
1-Spring Garden,East,Wednesday,Full service,1 Spring Garden,January,19,628,635,7,0.01,635,0,0.0,110,3,180,540,1 Spring Garden_East,Wednesday_19,371.0
1-Spring Garden,East,Wednesday,Full service,1 Spring Garden,January,20,627,907,280,0.45,936,29,0.05,495,2,271,542,1 Spring Garden_East,Wednesday_20,110.0
1-Spring Garden,East,Wednesday,Full service,1 Spring Garden,January,21,594,605,11,0.02,659,54,0.09,-59,5,153,765,1 Spring Garden_East,Wednesday_21,495.0
1-Spring Garden,East,Wednesday,Full service,1 Spring Garden,January,22,599,694,95,0.16,735,41,0.07,115,6,181,1086,1 Spring Garden_East,Wednesday_22,-59.0
1-Spring Garden,East,Wednesday,Full service,1 Spring Garden,January,23,609,620,11,0.02,671,51,0.08,26,3,189,567,1 Spring Garden_East,Wednesday_23,115.0
1-Spring Garden,West,Thursday,Full service,1 Spring Garden,January,5,617,618,1,0.0,652,34,0.06,161,6,181,1086,1 Spring Garden_West,Thursday_5,
1-Spring Garden,West,Thursday,Full service,1 Spring Garden,January,6,603,636,33,0.05,659,23,0.04,-39,3,213,639,1 Spring Garden_West,Thursday_6,161.0
1-Spring Garden,West,Thursday,Full service,1 Spring Garden,January,7,321,931,610,1.9,1179,248,0.77,418,12,301,3612,1 Spring Garden_West,Thursday_7,-39.0
1-Spring Garden,West,Thursday,Full service,1 Spring Garden,January,8,283,294,11,0.04,652,358,1.27,479,8,237,1896,1 Spring Garden_West,Thursday_8,418.0
1-Spring Garden,West,Thursday,Full service,1 Spring Garden,January,9,294,326,32,0.11,637,311,1.06,233,12,279,3348,1 Spring Garden_West,Thursday_9,479.0
1-Spring Garden,West,Thursday,Full service,1 Spring Garden,January,10,629,740,111,0.18,756,16,0.03,307,6,228,1368,1 Spring Garden_West,Thursday_10,233.0
1-Spring Garden,West,Thursday,Full service,1 Spring Garden,January,11,587,594,7,0.01,625,31,0.05,29,2,230,460,1 Spring Garden_West,Thursday_11,307.0
1-Spring Garden,West,Thursday,Full service,1 Spring Garden,January,12,581,597,16,0.03,629,32,0.06,143,3,268,804,1 Spring Garden_West,Thursday_12,29.0
1-Spring Garden,West,Thursday,Full service,1 Spring Garden,January,13,599,618,19,0.03,639,21,0.04,-58,2,296,592,1 Spring Garden_West,Thursday_13,143.0
1-Spring Garden,West,Thursday,Full service,1 Spring Garden,January,14,598,611,13,0.02,670,59,0.1,13,3,153,459,1 Spring Garden_West,Thursday_14,-58.0
1-Spring Garden,West,Thursday,Full service,1 Spring Garden,January,15,585,607,22,0.04,649,42,0.07,-47,3,171,513,1 Spring Garden_West,Thursday_15,13.0
1-Spring Garden,West,Thursday,Full service,1 Spring Garden,January,16,297,321,24,0.08,606,285,0.96,568,8,255,2040,1 Spring Garden_West,Thursday_16,-47.0
1-Spring Garden,West,Thursday,Full service,1 Spring Garden,January,17,322,357,35,0.11,643,286,0.89,393,11,363,3993,1 Spring Garden_West,Thursday_17,568.0
1-Spring Garden,West,Thursday,Full service,1 Spring Garden,January,18,293,301,8,0.03,511,210,0.72,134,10,295,2950,1 Spring Garden_West,Thursday_18,393.0
1-Spring Garden,West,Thursday,Full service,1 Spring Garden,January,19,571,614,43,0.08,617,3,0.01,-33,4,251,1004,1 Spring Garden_West,Thursday_19,134.0
1-Spring Garden,West,Thursday,Full service,1 Spring Garden,January,20,576,1118,542,0.94,1168,50,0.09,203,5,256,1280,1 Spring Garden_West,Thursday_20,-33.0
1-Spring Garden,West,Thursday,Full service,1 Spring Garden,January,21,581,1105,524,0.9,1113,8,0.01,601,4,280,1120,1 Spring Garden_West,Thursday_21,203.0
1-Spring Garden,West,Thursday,Full service,1 Spring Garden,January,22,579,580,1,0.0,608,28,0.05,794,5,298,1490,1 Spring Garden_West,Thursday_22,601.0
1-Spring Garden,West,Thursday,Full service,1 Spring Garden,January,23,591,608,17,0.03,666,58,0.1,488,4,246,984,1 Spring Garden_West,Thursday_23,794.0
1-Spring Garden,East,Friday,Full service,1 Spring Garden,January,5,571,613,42,0.07,657,44,0.08,-20,3,178,534,1 Spring Garden_East,Friday_5,26.0
1-Spring Garden,East,Friday,Full service,1 Spring Garden,January,6,599,604,5,0.01,608,4,0.01,17,2,177,354,1 Spring Garden_East,Friday_6,-20.0
1-Spring Garden,East,Friday,Full service,1 Spring Garden,January,7,281,294,13,0.05,631,337,1.2,184,8,430,3440,1 Spring Garden_East,Friday_7,17.0
1-Spring Garden,East,Friday,Full service,1 Spring Garden,January,8,321,363,42,0.13,695,332,1.03,266,12,391,4692,1 Spring Garden_East,Friday_8,184.0
1-Spring Garden,East,Friday,Full service,1 Spring Garden,January,9,296,1139,843,2.85,1457,318,1.07,338,10,318,3180,1 Spring Garden_East,Friday_9,266.0
1-Spring Garden,East,Friday,Full service,1 Spring Garden,January,10,608,635,27,0.04,682,47,0.08,573,6,246,1476,1 Spring Garden_East,Friday_10,338.0
1-Spring Garden,East,Friday,Full service,1 Spring Garden,January,11,571,608,37,0.06,609,1,0.0,-32,6,208,1248,1 Spring Garden_East,Friday_11,573.0
1-Spring Garden,East,Friday,Full service,1 Spring Garden,January,12,587,1173,586,1.0,1214,41,0.07,-36,5,299,1495,1 Spring Garden_East,Friday_12,-32.0
1-Spring Garden,East,Friday,Full service,1 Spring Garden,January,13,601,662,61,0.1,672,10,0.02,267,2,284,568,1 Spring Garden_East,Friday_13,-36.0
1-Spring Garden,East,Friday,Full service,1 Spring Garden,January,14,584,611,27,0.05,620,9,0.02,98,5,240,1200,1 Spring Garden_East,Friday_14,267.0
1-Spring Garden,East,Friday,Full service,1 Spring Garden,January,15,586,619,33,0.06,638,19,0.03,119,6,279,1674,1 Spring Garden_East,Friday_15,98.0
1-Spring Garden,East,Friday,Full service,1 Spring Garden,January,16,316,375,59,0.19,591,216,0.68,511,7,339,2373,1 Spring Garden_East,Friday_16,119.0
1-Spring Garden,East,Friday,Full service,1 Spring Garden,January,17,275,282,7,0.03,666,384,1.4,257,12,303,3636,1 Spring Garden_East,Friday_17,511.0
1-Spring Garden,East,Friday,Full service,1 Spring Garden,January,18,303,326,23,0.08,487,161,0.53,238,7,364,2548,1 Spring Garden_East,Friday_18,257.0
1-Spring Garden,East,Friday,Full service,1 Spring Garden,January,19,625,642,17,0.03,646,4,0.01,147,3,213,639,1 Spring Garden_East,Friday_19,238.0
1-Spring Garden,East,Friday,Full service,1 Spring Garden,January,20,615,653,38,0.06,698,45,0.07,-6,2,261,522,1 Spring Garden_East,Friday_20,147.0
1-Spring Garden,East,Friday,Full service,1 Spring Garden,January,21,619,656,37,0.06,685,29,0.05,151,5,186,930,1 Spring Garden_East,Friday_21,-6.0
1-Spring Garden,East,Friday,Full service,1 Spring Garden,January,22,606,626,20,0.03,653,27,0.04,48,3,275,825,1 Spring Garden_East,Friday_22,151.0
1-Spring Garden,East,Friday,Full service,1 Spring Garden,January,23,610,616,6,0.01,656,40,0.07,-54,3,165,495,1 Spring Garden_East,Friday_23,48.0
1-Spring Garden,West,Saturday,Reduced service,1 Spring Garden,January,5,1494,1520,26,0.02,1566,46,0.03,285,2,135,270,1 Spring Garden_West,Saturday_5,488.0
1-Spring Garden,West,Saturday,Reduced service,1 Spring Garden,January,6,1492,1503,11,0.01,1514,11,0.01,68,3,172,516,1 Spring Garden_West,Saturday_6,285.0
1-Spring Garden,West,Saturday,Reduced service,1 Spring Garden,January,7,1511,1540,29,0.02,1546,6,0.0,76,6,108,648,1 Spring Garden_West,Saturday_7,68.0
1-Spring Garden,West,Saturday,Reduced service,1 Spring Garden,January,8,1482,1998,516,0.35,1999,1,0.0,25,4,96,384,1 Spring Garden_West,Saturday_8,76.0
1-Spring Garden,West,Saturday,Reduced service,1 Spring Garden,January,9,1498,1517,19,0.01,1518,1,0.0,40,3,173,519,1 Spring Garden_West,Saturday_9,25.0
1-Spring Garden,West,Saturday,Reduced service,1 Spring Garden,January,10,1478,2164,686,0.46,2190,26,0.02,102,6,94,564,1 Spring Garden_West,Saturday_10,40.0
1-Spring Garden,West,Saturday,Reduced service,1 Spring Garden,January,11,1493,2086,593,0.4,2129,43,0.03,329,3,111,333,1 Spring Garden_West,Saturday_11,102.0
1-Spring Garden,West,Saturday,Reduced service,1 Spring Garden,January,12,1515,2126,611,0.4,2161,35,0.02,736,4,118,472,1 Spring Garden_West,Saturday_12,329.0
1-Spring Garden,West,Saturday,Reduced service,1 Spring Garden,January,13,1478,1502,24,0.02,1556,54,0.04,-21,6,118,708,1 Spring Garden_West,Saturday_13,736.0
1-Spring Garden,West,Saturday,Reduced service,1 Spring Garden,January,14,1486,1971,485,0.33,2022,51,0.03,137,3,124,372,1 Spring Garden_West,Saturday_14,-21.0
1-Spring Garden,West,Saturday,Reduced service,1 Spring Garden,January,15,1516,2222,706,0.47,2243,21,0.01,4,4,124,496,1 Spring Garden_West,Saturday_15,137.0
1-Spring Garden,West,Saturday,Reduced service,1 Spring Garden,January,16,1512,2152,640,0.42,2190,38,0.03,20,3,158,474,1 Spring Garden_West,Saturday_16,4.0
1-Spring Garden,West,Saturday,Reduced service,1 Spring Garden,January,17,1477,2143,666,0.45,2196,53,0.04,122,2,130,260,1 Spring Garden_West,Saturday_17,20.0
1-Spring Garden,West,Saturday,Reduced service,1 Spring Garden,January,18,1475,1645,170,0.12,1671,26,0.02,-6,6,175,1050,1 Spring Garden_West,Saturday_18,122.0
1-Spring Garden,West,Saturday,Reduced service,1 Spring Garden,January,19,1483,2332,849,0.57,2342,10,0.01,696,5,154,770,1 Spring Garden_West,Saturday_19,-6.0
1-Spring Garden,West,Saturday,Reduced service,1 Spring Garden,January,20,1484,1528,44,0.03,1557,29,0.02,327,6,146,876,1 Spring Garden_West,Saturday_20,696.0
1-Spring Garden,West,Saturday,Reduced service,1 Spring Garden,January,21,1488,1524,36,0.02,1562,38,0.03,-47,6,130,780,1 Spring Garden_West,Saturday_21,327.0
1-Spring Garden,West,Saturday,Reduced service,1 Spring Garden,January,22,1493,1494,1,0.0,1495,1,0.0,-59,3,125,375,1 Spring Garden_West,Saturday_22,-47.0
1-Spring Garden,West,Saturday,Reduced service,1 Spring Garden,January,23,1490,2357,867,0.58,2416,59,0.04,62,3,118,354,1 Spring Garden_West,Saturday_23,-59.0
1-Spring Garden,West,Sunday,Reduced service,1 Spring Garden,January,5,1484,1527,43,0.03,1548,21,0.01,86,2,111,222,1 Spring Garden_West,Sunday_5,62.0
1-Spring Garden,West,Sunday,Reduced service,1 Spring Garden,January,6,1530,1565,35,0.02,1623,58,0.04,-19,3,105,315,1 Spring Garden_West,Sunday_6,86.0
1-Spring Garden,West,Sunday,Reduced service,1 Spring Garden,January,7,1495,2072,577,0.39,2099,27,0.02,28,3,90,270,1 Spring Garden_West,Sunday_7,-19.0
1-Spring Garden,West,Sunday,Reduced service,1 Spring Garden,January,8,1517,1529,12,0.01,1583,54,0.04,178,6,163,978,1 Spring Garden_West,Sunday_8,28.0
1-Spring Garden,West,Sunday,Reduced service,1 Spring Garden,January,9,1491,1521,30,0.02,1580,59,0.04,-25,2,103,206,1 Spring Garden_West,Sunday_9,178.0
1-Spring Garden,West,Sunday,Reduced service,1 Spring Garden,January,10,1508,1550,42,0.03,1578,28,0.02,20,2,152,304,1 Spring Garden_West,Sunday_10,-25.0
1-Spring Garden,West,Sunday,Reduced service,1 Spring Garden,January,11,1519,1544,25,0.02,1603,59,0.04,111,5,174,870,1 Spring Garden_West,Sunday_11,20.0
1-Spring Garden,West,Sunday,Reduced service,1 Spring Garden,January,12,1518,1518,0,0.0,1538,20,0.01,-25,5,130,650,1 Spring Garden_West,Sunday_12,111.0
1-Spring Garden,West,Sunday,Reduced service,1 Spring Garden,January,13,1500,1521,21,0.01,1570,49,0.03,166,5,147,735,1 Spring Garden_West,Sunday_13,-25.0
1-Spring Garden,West,Sunday,Reduced service,1 Spring Garden,January,14,1527,2025,498,0.33,2050,25,0.02,147,6,134,804,1 Spring Garden_West,Sunday_14,166.0
1-Spring Garden,West,Sunday,Reduced service,1 Spring Garden,January,15,1487,1516,29,0.02,1546,30,0.02,38,6,136,816,1 Spring Garden_West,Sunday_15,147.0
1-Spring Garden,West,Sunday,Reduced service,1 Spring Garden,January,16,1501,1818,317,0.21,1844,26,0.02,83,2,94,188,1 Spring Garden_West,Sunday_16,38.0
1-Spring Garden,West,Sunday,Reduced service,1 Spring Garden,January,17,1501,1512,11,0.01,1567,55,0.04,581,2,180,360,1 Spring Garden_West,Sunday_17,83.0
1-Spring Garden,West,Sunday,Reduced service,1 Spring Garden,January,18,1498,1553,55,0.04,1591,38,0.03,124,5,130,650,1 Spring Garden_West,Sunday_18,581.0
1-Spring Garden,West,Sunday,Reduced service,1 Spring Garden,January,19,1507,1538,31,0.02,1546,8,0.01,67,4,96,384,1 Spring Garden_West,Sunday_19,124.0
1-Spring Garden,West,Sunday,Reduced service,1 Spring Garden,January,20,1478,1491,13,0.01,1549,58,0.04,137,5,131,655,1 Spring Garden_West,Sunday_20,67.0
1-Spring Garden,West,Sunday,Reduced service,1 Spring Garden,January,21,1476,1520,44,0.03,1527,7,0.0,167,2,94,188,1 Spring Garden_West,Sunday_21,137.0
1-Spring Garden,West,Sunday,Reduced service,1 Spring Garden,January,22,1507,1536,29,0.02,1544,8,0.01,59,4,168,672,1 Spring Garden_West,Sunday_22,167.0
1-Spring Garden,West,Sunday,Reduced service,1 Spring Garden,January,23,1490,1585,95,0.06,1602,17,0.01,-58,2,170,340,1 Spring Garden_West,Sunday_23,59.0
1-Spring Garden,West,Monday,Full service,1 To Bridge Terminal,February,5,609,632,23,0.04,646,14,0.02,749,6,239,1434,1 To Bridge Terminal_West,Monday_5,440.0
1-Spring Garden,West,Monday,Full service,1 To Bridge Terminal,February,6,599,639,40,0.07,677,38,0.06,-47,4,251,1004,1 To Bridge Terminal_West,Monday_6,749.0
1-Spring Garden,West,Monday,Full service,1 To Bridge Terminal,February,7,271,288,17,0.06,440,152,0.56,543,9,300,2700,1 To Bridge Terminal_West,Monday_7,-47.0
1-Spring Garden,West,Monday,Full service,1 To Bridge Terminal,February,8,289,992,703,2.43,1139,147,0.51,199,6,382,2292,1 To Bridge Terminal_West,Monday_8,543.0
1-Spring Garden,West,Monday,Full service,1 To Bridge Terminal,February,9,327,371,44,0.13,593,222,0.68,195,11,231,2541,1 To Bridge Terminal_West,Monday_9,199.0
1-Spring Garden,West,Monday,Full service,1 To Bridge Terminal,February,10,593,813,220,0.37,858,45,0.08,177,6,219,1314,1 To Bridge Terminal_West,Monday_10,195.0
1-Spring Garden,West,Monday,Full service,1 To Bridge Terminal,February,11,621,663,42,0.07,698,35,0.06,-42,6,205,1230,1 To Bridge Terminal_West,Monday_11,177.0
1-Spring Garden,West,Monday,Full service,1 To Bridge Terminal,February,12,630,735,105,0.17,739,4,0.01,8,3,277,831,1 To Bridge Terminal_West,Monday_12,-42.0
1-Spring Garden,West,Monday,Full service,1 To Bridge Terminal,February,13,597,635,38,0.06,685,50,0.08,48,2,299,598,1 To Bridge Terminal_West,Monday_13,8.0
1-Spring Garden,West,Monday,Full service,1 To Bridge Terminal,February,14,579,608,29,0.05,655,47,0.08,151,3,258,774,1 To Bridge Terminal_West,Monday_14,48.0
1-Spring Garden,West,Monday,Full service,1 To Bridge Terminal,February,15,572,596,24,0.04,649,53,0.09,79,5,151,755,1 To Bridge Terminal_West,Monday_15,151.0
1-Spring Garden,West,Monday,Full service,1 To Bridge Terminal,February,16,279,291,12,0.04,566,275,0.99,226,11,436,4796,1 To Bridge Terminal_West,Monday_16,79.0
1-Spring Garden,West,Monday,Full service,1 To Bridge Terminal,February,17,315,319,4,0.01,598,279,0.89,238,11,351,3861,1 To Bridge Terminal_West,Monday_17,226.0
1-Spring Garden,West,Monday,Full service,1 To Bridge Terminal,February,18,330,350,20,0.06,664,314,0.95,510,9,295,2655,1 To Bridge Terminal_West,Monday_18,238.0
1-Spring Garden,West,Monday,Full service,1 To Bridge Terminal,February,19,600,611,11,0.02,616,5,0.01,-33,3,166,498,1 To Bridge Terminal_West,Monday_19,510.0
1-Spring Garden,West,Monday,Full service,1 To Bridge Terminal,February,20,604,640,36,0.06,644,4,0.01,-39,2,254,508,1 To Bridge Terminal_West,Monday_20,-33.0
1-Spring Garden,West,Monday,Full service,1 To Bridge Terminal,February,21,587,1265,678,1.16,1266,1,0.0,449,4,293,1172,1 To Bridge Terminal_West,Monday_21,-39.0
1-Spring Garden,West,Monday,Full service,1 To Bridge Terminal,February,22,577,621,44,0.08,658,37,0.06,-35,4,174,696,1 To Bridge Terminal_West,Monday_22,449.0
1-Spring Garden,West,Monday,Full service,1 To Bridge Terminal,February,23,604,640,36,0.06,669,29,0.05,16,6,203,1218,1 To Bridge Terminal_West,Monday_23,-35.0
1-Spring Garden,East,Tuesday,Full service,1 To Bridge Terminal,February,5,626,976,350,0.56,976,0,0.0,-3,2,223,446,1 To Bridge Terminal_East,Tuesday_5,61.0
1-Spring Garden,East,Tuesday,Full service,1 To Bridge Terminal,February,6,628,645,17,0.03,685,40,0.06,739,5,174,870,1 To Bridge Terminal_East,Tuesday_6,-3.0
1-Spring Garden,East,Tuesday,Full service,1 To Bridge Terminal,February,7,303,336,33,0.11,523,187,0.62,444,8,412,3296,1 To Bridge Terminal_East,Tuesday_7,739.0
1-Spring Garden,East,Tuesday,Full service,1 To Bridge Terminal,February,8,319,516,197,0.62,670,154,0.48,228,12,310,3720,1 To Bridge Terminal_East,Tuesday_8,444.0
1-Spring Garden,East,Tuesday,Full service,1 To Bridge Terminal,February,9,306,916,610,1.99,1081,165,0.54,542,12,313,3756,1 To Bridge Terminal_East,Tuesday_9,228.0
1-Spring Garden,East,Tuesday,Full service,1 To Bridge Terminal,February,10,584,612,28,0.05,656,44,0.08,125,5,195,975,1 To Bridge Terminal_East,Tuesday_10,542.0
1-Spring Garden,East,Tuesday,Full service,1 To Bridge Terminal,February,11,591,1458,867,1.47,1487,29,0.05,142,3,161,483,1 To Bridge Terminal_East,Tuesday_11,125.0
1-Spring Garden,East,Tuesday,Full service,1 To Bridge Terminal,February,12,612,633,21,0.03,660,27,0.04,128,3,254,762,1 To Bridge Terminal_East,Tuesday_12,142.0
