Route,Direction,Weekday,Service Day,Branch,Month,Hour,Average Headway,Actual Gap,Additional Time due to Missing Service,% Additional Time due to Missing Service,Waiting Time as Experienced,Additional Time due to Bunching,% Additional Time due to Bunching,Schedule Adherence,Dwell Time at Stops,Stops Served
1-Spring Garden,East,Tuesday,Full service,1 To Bridge Terminal,January,22,10:17,10:29,0:12,2%,11:10,0:41,7%,7:54,0:03,178
1-Spring Garden,East,Tuesday,Full service,1 To Bridge Terminal,January,23,9:31,10:41,1:10,12%,11:15,0:34,6%,1:01,0:02,218
1-Spring Garden,East,Wednesday,Full service,1 Spring Garden,January,5,10:14,10:17,0:03,0%,10:55,0:38,6%,2:03,0:02,277
1-Spring Garden,East,Wednesday,Full service,1 Spring Garden,January,6,10:19,11:37,1:18,13%,12:06,0:29,5%,2:05,0:03,199
1-Spring Garden,East,Wednesday,Full service,1 Spring Garden,January,7,5:26,9:40,4:14,78%,15:05,5:25,100%,4:08,0:07,355
1-Spring Garden,East,Wednesday,Full service,1 Spring Garden,January,8,5:17,5:24,0:07,2%,9:40,4:16,81%,9:26,0:08,384
1-Spring Garden,East,Wednesday,Full service,1 Spring Garden,January,9,5:23,5:30,0:07,2%,7:39,2:09,40%,7:35,0:08,409
1-Spring Garden,East,Wednesday,Full service,1 Spring Garden,January,10,10:29,18:43,8:14,79%,19:05,0:22,3%,1:45,0:05,265
1-Spring Garden,East,Wednesday,Full service,1 Spring Garden,January,11,9:34,23:32,13:58,146%,24:13,0:41,7%,-0:35,0:04,293
1-Spring Garden,East,Wednesday,Full service,1 Spring Garden,January,12,9:31,9:57,0:26,5%,10:35,0:38,7%,1:56,0:03,210
1-Spring Garden,East,Wednesday,Full service,1 Spring Garden,January,13,10:07,23:22,13:15,131%,23:44,0:22,4%,-0:02,0:02,263
1-Spring Garden,East,Wednesday,Full service,1 Spring Garden,January,14,9:52,10:02,0:10,2%,10:47,0:45,8%,0:59,0:03,200
1-Spring Garden,East,Wednesday,Full service,1 Spring Garden,January,15,10:28,10:47,0:19,3%,11:34,0:47,7%,-0:35,0:04,163
1-Spring Garden,East,Wednesday,Full service,1 Spring Garden,January,16,5:27,6:08,0:41,13%,11:38,5:30,101%,4:21,0:07,288
1-Spring Garden,East,Wednesday,Full service,1 Spring Garden,January,17,4:45,17:31,12:46,269%,22:05,4:34,96%,2:22,0:11,310
1-Spring Garden,East,Wednesday,Full service,1 Spring Garden,January,18,4:39,13:27,8:48,189%,17:55,4:28,96%,6:11,0:07,322
1-Spring Garden,East,Wednesday,Full service,1 Spring Garden,January,19,10:28,10:35,0:07,1%,10:35,0:00,0%,1:50,0:03,180
1-Spring Garden,East,Wednesday,Full service,1 Spring Garden,January,20,10:27,15:07,4:40,45%,15:36,0:29,5%,8:15,0:02,271
1-Spring Garden,East,Wednesday,Full service,1 Spring Garden,January,21,9:54,10:05,0:11,2%,10:59,0:54,9%,-0:59,0:05,153
1-Spring Garden,East,Wednesday,Full service,1 Spring Garden,January,22,9:59,11:34,1:35,16%,12:15,0:41,7%,1:55,0:06,181
1-Spring Garden,East,Wednesday,Full service,1 Spring Garden,January,23,10:09,10:20,0:11,2%,11:11,0:51,8%,0:26,0:03,189
1-Spring Garden,West,Thursday,Full service,1 Spring Garden,January,5,10:17,10:18,0:01,0%,10:52,0:34,6%,2:41,0:06,181
1-Spring Garden,West,Thursday,Full service,1 Spring Garden,January,6,10:03,10:36,0:33,5%,10:59,0:23,4%,-0:39,0:03,213
1-Spring Garden,West,Thursday,Full service,1 Spring Garden,January,7,5:21,15:31,10:10,190%,19:39,4:08,77%,6:58,0:12,301
1-Spring Garden,West,Thursday,Full service,1 Spring Garden,January,8,4:43,4:54,0:11,4%,10:52,5:58,127%,7:59,0:08,237
1-Spring Garden,West,Thursday,Full service,1 Spring Garden,January,9,4:54,5:26,0:32,11%,10:37,5:11,106%,3:53,0:12,279
1-Spring Garden,West,Thursday,Full service,1 Spring Garden,January,10,10:29,12:20,1:51,18%,12:36,0:16,3%,5:07,0:06,228
1-Spring Garden,West,Thursday,Full service,1 Spring Garden,January,11,9:47,9:54,0:07,1%,10:25,0:31,5%,0:29,0:02,230
1-Spring Garden,West,Thursday,Full service,1 Spring Garden,January,12,9:41,9:57,0:16,3%,10:29,0:32,6%,2:23,0:03,268
1-Spring Garden,West,Thursday,Full service,1 Spring Garden,January,13,9:59,10:18,0:19,3%,10:39,0:21,4%,-0:58,0:02,296
1-Spring Garden,West,Thursday,Full service,1 Spring Garden,January,14,9:58,10:11,0:13,2%,11:10,0:59,10%,0:13,0:03,153
1-Spring Garden,West,Thursday,Full service,1 Spring Garden,January,15,9:45,10:07,0:22,4%,10:49,0:42,7%,-0:47,0:03,171
1-Spring Garden,West,Thursday,Full service,1 Spring Garden,January,16,4:57,5:21,0:24,8%,10:06,4:45,96%,9:28,0:08,255
1-Spring Garden,West,Thursday,Full service,1 Spring Garden,January,17,5:22,5:57,0:35,11%,10:43,4:46,89%,6:33,0:11,363
1-Spring Garden,West,Thursday,Full service,1 Spring Garden,January,18,4:53,5:01,0:08,3%,8:31,3:30,72%,2:14,0:10,295
1-Spring Garden,West,Thursday,Full service,1 Spring Garden,January,19,9:31,10:14,0:43,8%,10:17,0:03,1%,-0:33,0:04,251
1-Spring Garden,West,Thursday,Full service,1 Spring Garden,January,20,9:36,18:38,9:02,94%,19:28,0:50,9%,3:23,0:05,256
1-Spring Garden,West,Thursday,Full service,1 Spring Garden,January,21,9:41,18:25,8:44,90%,18:33,0:08,1%,10:01,0:04,280
1-Spring Garden,West,Thursday,Full service,1 Spring Garden,January,22,9:39,9:40,0:01,0%,10:08,0:28,5%,13:14,0:05,298
1-Spring Garden,West,Thursday,Full service,1 Spring Garden,January,23,9:51,10:08,0:17,3%,11:06,0:58,10%,8:08,0:04,246
1-Spring Garden,East,Friday,Full service,1 Spring Garden,January,5,9:31,10:13,0:42,7%,10:57,0:44,8%,-0:20,0:03,178
1-Spring Garden,East,Friday,Full service,1 Spring Garden,January,6,9:59,10:04,0:05,1%,10:08,0:04,1%,0:17,0:02,177
1-Spring Garden,East,Friday,Full service,1 Spring Garden,January,7,4:41,4:54,0:13,5%,10:31,5:37,120%,3:04,0:08,430
1-Spring Garden,East,Friday,Full service,1 Spring Garden,January,8,5:21,6:03,0:42,13%,11:35,5:32,103%,4:26,0:12,391
1-Spring Garden,East,Friday,Full service,1 Spring Garden,January,9,4:56,18:59,14:03,285%,24:17,5:18,107%,5:38,0:10,318
1-Spring Garden,East,Friday,Full service,1 Spring Garden,January,10,10:08,10:35,0:27,4%,11:22,0:47,8%,9:33,0:06,246
1-Spring Garden,East,Friday,Full service,1 Spring Garden,January,11,9:31,10:08,0:37,6%,10:09,0:01,0%,-0:32,0:06,208
1-Spring Garden,East,Friday,Full service,1 Spring Garden,January,12,9:47,19:33,9:46,100%,20:14,0:41,7%,-0:36,0:05,299
1-Spring Garden,East,Friday,Full service,1 Spring Garden,January,13,10:01,11:02,1:01,10%,11:12,0:10,2%,4:27,0:02,284
1-Spring Garden,East,Friday,Full service,1 Spring Garden,January,14,9:44,10:11,0:27,5%,10:20,0:09,2%,1:38,0:05,240
1-Spring Garden,East,Friday,Full service,1 Spring Garden,January,15,9:46,10:19,0:33,6%,10:38,0:19,3%,1:59,0:06,279
1-Spring Garden,East,Friday,Full service,1 Spring Garden,January,16,5:16,6:15,0:59,19%,9:51,3:36,68%,8:31,0:07,339
1-Spring Garden,East,Friday,Full service,1 Spring Garden,January,17,4:35,4:42,0:07,3%,11:06,6:24,140%,4:17,0:12,303
1-Spring Garden,East,Friday,Full service,1 Spring Garden,January,18,5:03,5:26,0:23,8%,8:07,2:41,53%,3:58,0:07,364
1-Spring Garden,East,Friday,Full service,1 Spring Garden,January,19,10:25,10:42,0:17,3%,10:46,0:04,1%,2:27,0:03,213
1-Spring Garden,East,Friday,Full service,1 Spring Garden,January,20,10:15,10:53,0:38,6%,11:38,0:45,7%,-0:06,0:02,261
1-Spring Garden,East,Friday,Full service,1 Spring Garden,January,21,10:19,10:56,0:37,6%,11:25,0:29,5%,2:31,0:05,186
1-Spring Garden,East,Friday,Full service,1 Spring Garden,January,22,10:06,10:26,0:20,3%,10:53,0:27,4%,0:48,0:03,275
1-Spring Garden,East,Friday,Full service,1 Spring Garden,January,23,10:10,10:16,0:06,1%,10:56,0:40,7%,-0:54,0:03,165
1-Spring Garden,West,Saturday,Reduced service,1 Spring Garden,January,5,24:54,25:20,0:26,2%,26:06,0:46,3%,4:45,0:02,135
1-Spring Garden,West,Saturday,Reduced service,1 Spring Garden,January,6,24:52,25:03,0:11,1%,25:14,0:11,1%,1:08,0:03,172
1-Spring Garden,West,Saturday,Reduced service,1 Spring Garden,January,7,25:11,25:40,0:29,2%,25:46,0:06,0%,1:16,0:06,108
1-Spring Garden,West,Saturday,Reduced service,1 Spring Garden,January,8,24:42,33:18,8:36,35%,33:19,0:01,0%,0:25,0:04,96
1-Spring Garden,West,Saturday,Reduced service,1 Spring Garden,January,9,24:58,25:17,0:19,1%,25:18,0:01,0%,0:40,0:03,173
1-Spring Garden,West,Saturday,Reduced service,1 Spring Garden,January,10,24:38,36:04,11:26,46%,36:30,0:26,2%,1:42,0:06,94
1-Spring Garden,West,Saturday,Reduced service,1 Spring Garden,January,11,24:53,34:46,9:53,40%,35:29,0:43,3%,5:29,0:03,111
1-Spring Garden,West,Saturday,Reduced service,1 Spring Garden,January,12,25:15,35:26,10:11,40%,36:01,0:35,2%,12:16,0:04,118
1-Spring Garden,West,Saturday,Reduced service,1 Spring Garden,January,13,24:38,25:02,0:24,2%,25:56,0:54,4%,-0:21,0:06,118
1-Spring Garden,West,Saturday,Reduced service,1 Spring Garden,January,14,24:46,32:51,8:05,33%,33:42,0:51,3%,2:17,0:03,124
1-Spring Garden,West,Saturday,Reduced service,1 Spring Garden,January,15,25:16,37:02,11:46,47%,37:23,0:21,1%,0:04,0:04,124
1-Spring Garden,West,Saturday,Reduced service,1 Spring Garden,January,16,25:12,35:52,10:40,42%,36:30,0:38,3%,0:20,0:03,158
1-Spring Garden,West,Saturday,Reduced service,1 Spring Garden,January,17,24:37,35:43,11:06,45%,36:36,0:53,4%,2:02,0:02,130
1-Spring Garden,West,Saturday,Reduced service,1 Spring Garden,January,18,24:35,27:25,2:50,12%,27:51,0:26,2%,-0:06,0:06,175
1-Spring Garden,West,Saturday,Reduced service,1 Spring Garden,January,19,24:43,38:52,14:09,57%,39:02,0:10,1%,11:36,0:05,154
1-Spring Garden,West,Saturday,Reduced service,1 Spring Garden,January,20,24:44,25:28,0:44,3%,25:57,0:29,2%,5:27,0:06,146
1-Spring Garden,West,Saturday,Reduced service,1 Spring Garden,January,21,24:48,25:24,0:36,2%,26:02,0:38,3%,-0:47,0:06,130
1-Spring Garden,West,Saturday,Reduced service,1 Spring Garden,January,22,24:53,24:54,0:01,0%,24:55,0:01,0%,-0:59,0:03,125
1-Spring Garden,West,Saturday,Reduced service,1 Spring Garden,January,23,24:50,39:17,14:27,58%,40:16,0:59,4%,1:02,0:03,118
1-Spring Garden,West,Sunday,Reduced service,1 Spring Garden,January,5,24:44,25:27,0:43,3%,25:48,0:21,1%,1:26,0:02,111
1-Spring Garden,West,Sunday,Reduced service,1 Spring Garden,January,6,25:30,26:05,0:35,2%,27:03,0:58,4%,-0:19,0:03,105
1-Spring Garden,West,Sunday,Reduced service,1 Spring Garden,January,7,24:55,34:32,9:37,39%,34:59,0:27,2%,0:28,0:03,90
1-Spring Garden,West,Sunday,Reduced service,1 Spring Garden,January,8,25:17,25:29,0:12,1%,26:23,0:54,4%,2:58,0:06,163
1-Spring Garden,West,Sunday,Reduced service,1 Spring Garden,January,9,24:51,25:21,0:30,2%,26:20,0:59,4%,-0:25,0:02,103
1-Spring Garden,West,Sunday,Reduced service,1 Spring Garden,January,10,25:08,25:50,0:42,3%,26:18,0:28,2%,0:20,0:02,152
1-Spring Garden,West,Sunday,Reduced service,1 Spring Garden,January,11,25:19,25:44,0:25,2%,26:43,0:59,4%,1:51,0:05,174
1-Spring Garden,West,Sunday,Reduced service,1 Spring Garden,January,12,25:18,25:18,0:00,0%,25:38,0:20,1%,-0:25,0:05,130
1-Spring Garden,West,Sunday,Reduced service,1 Spring Garden,January,13,25:00,25:21,0:21,1%,26:10,0:49,3%,2:46,0:05,147
1-Spring Garden,West,Sunday,Reduced service,1 Spring Garden,January,14,25:27,33:45,8:18,33%,34:10,0:25,2%,2:27,0:06,134
1-Spring Garden,West,Sunday,Reduced service,1 Spring Garden,January,15,24:47,25:16,0:29,2%,25:46,0:30,2%,0:38,0:06,136
1-Spring Garden,West,Sunday,Reduced service,1 Spring Garden,January,16,25:01,30:18,5:17,21%,30:44,0:26,2%,1:23,0:02,94
1-Spring Garden,West,Sunday,Reduced service,1 Spring Garden,January,17,25:01,25:12,0:11,1%,26:07,0:55,4%,9:41,0:02,180
1-Spring Garden,West,Sunday,Reduced service,1 Spring Garden,January,18,24:58,25:53,0:55,4%,26:31,0:38,3%,2:04,0:05,130
1-Spring Garden,West,Sunday,Reduced service,1 Spring Garden,January,19,25:07,25:38,0:31,2%,25:46,0:08,1%,1:07,0:04,96
1-Spring Garden,West,Sunday,Reduced service,1 Spring Garden,January,20,24:38,24:51,0:13,1%,25:49,0:58,4%,2:17,0:05,131
1-Spring Garden,West,Sunday,Reduced service,1 Spring Garden,January,21,24:36,25:20,0:44,3%,25:27,0:07,0%,2:47,0:02,94
1-Spring Garden,West,Sunday,Reduced service,1 Spring Garden,January,22,25:07,25:36,0:29,2%,25:44,0:08,1%,0:59,0:04,168
1-Spring Garden,West,Sunday,Reduced service,1 Spring Garden,January,23,24:50,26:25,1:35,6%,26:42,0:17,1%,-0:58,0:02,170
1-Spring Garden,West,Monday,Full service,1 To Bridge Terminal,February,5,10:09,10:32,0:23,4%,10:46,0:14,2%,12:29,0:06,239
1-Spring Garden,West,Monday,Full service,1 To Bridge Terminal,February,6,9:59,10:39,0:40,7%,11:17,0:38,6%,-0:47,0:04,251
1-Spring Garden,West,Monday,Full service,1 To Bridge Terminal,February,7,4:31,4:48,0:17,6%,7:20,2:32,56%,9:03,0:09,300
1-Spring Garden,West,Monday,Full service,1 To Bridge Terminal,February,8,4:49,16:32,11:43,243%,18:59,2:27,51%,3:19,0:06,382
1-Spring Garden,West,Monday,Full service,1 To Bridge Terminal,February,9,5:27,6:11,0:44,13%,9:53,3:42,68%,3:15,0:11,231
1-Spring Garden,West,Monday,Full service,1 To Bridge Terminal,February,10,9:53,13:33,3:40,37%,14:18,0:45,8%,2:57,0:06,219
1-Spring Garden,West,Monday,Full service,1 To Bridge Terminal,February,11,10:21,11:03,0:42,7%,11:38,0:35,6%,-0:42,0:06,205
1-Spring Garden,West,Monday,Full service,1 To Bridge Terminal,February,12,10:30,12:15,1:45,17%,12:19,0:04,1%,0:08,0:03,277
1-Spring Garden,West,Monday,Full service,1 To Bridge Terminal,February,13,9:57,10:35,0:38,6%,11:25,0:50,8%,0:48,0:02,299
1-Spring Garden,West,Monday,Full service,1 To Bridge Terminal,February,14,9:39,10:08,0:29,5%,10:55,0:47,8%,2:31,0:03,258
1-Spring Garden,West,Monday,Full service,1 To Bridge Terminal,February,15,9:32,9:56,0:24,4%,10:49,0:53,9%,1:19,0:05,151
1-Spring Garden,West,Monday,Full service,1 To Bridge Terminal,February,16,4:39,4:51,0:12,4%,9:26,4:35,99%,3:46,0:11,436
1-Spring Garden,West,Monday,Full service,1 To Bridge Terminal,February,17,5:15,5:19,0:04,1%,9:58,4:39,89%,3:58,0:11,351
1-Spring Garden,West,Monday,Full service,1 To Bridge Terminal,February,18,5:30,5:50,0:20,6%,11:04,5:14,95%,8:30,0:09,295
1-Spring Garden,West,Monday,Full service,1 To Bridge Terminal,February,19,10:00,10:11,0:11,2%,10:16,0:05,1%,-0:33,0:03,166
1-Spring Garden,West,Monday,Full service,1 To Bridge Terminal,February,20,10:04,10:40,0:36,6%,10:44,0:04,1%,-0:39,0:02,254
1-Spring Garden,West,Monday,Full service,1 To Bridge Terminal,February,21,9:47,21:05,11:18,116%,21:06,0:01,0%,7:29,0:04,293
1-Spring Garden,West,Monday,Full service,1 To Bridge Terminal,February,22,9:37,10:21,0:44,8%,10:58,0:37,6%,-0:35,0:04,174
1-Spring Garden,West,Monday,Full service,1 To Bridge Terminal,February,23,10:04,10:40,0:36,6%,11:09,0:29,5%,0:16,0:06,203
1-Spring Garden,East,Tuesday,Full service,1 To Bridge Terminal,February,5,10:26,16:16,5:50,56%,16:16,0:00,0%,-0:03,0:02,223
1-Spring Garden,East,Tuesday,Full service,1 To Bridge Terminal,February,6,10:28,10:45,0:17,3%,11:25,0:40,6%,12:19,0:05,174
1-Spring Garden,East,Tuesday,Full service,1 To Bridge Terminal,February,7,5:03,5:36,0:33,11%,8:43,3:07,62%,7:24,0:08,412
1-Spring Garden,East,Tuesday,Full service,1 To Bridge Terminal,February,8,5:19,8:36,3:17,62%,11:10,2:34,48%,3:48,0:12,310
1-Spring Garden,East,Tuesday,Full service,1 To Bridge Terminal,February,9,5:06,15:16,10:10,199%,18:01,2:45,54%,9:02,0:12,313
1-Spring Garden,East,Tuesday,Full service,1 To Bridge Terminal,February,10,9:44,10:12,0:28,5%,10:56,0:44,8%,2:05,0:05,195
1-Spring Garden,East,Tuesday,Full service,1 To Bridge Terminal,February,11,9:51,24:18,14:27,147%,24:47,0:29,5%,2:22,0:03,161
1-Spring Garden,East,Tuesday,Full service,1 To Bridge Terminal,February,12,10:12,10:33,0:21,3%,11:00,0:27,4%,2:08,0:03,254
1-Spring Garden,East,Tuesday,Full service,1 To Bridge Terminal,February,13,9:43,9:47,0:04,1%,10:22,0:35,6%,-0:56,0:05,290
1-Spring Garden,East,Tuesday,Full service,1 To Bridge Terminal,February,14,9:36,10:08,0:32,6%,10:13,0:05,1%,-0:05,0:03,217
1-Spring Garden,East,Tuesday,Full service,1 To Bridge Terminal,February,15,10:10,10:15,0:05,1%,11:07,0:52,9%,0:59,0:04,226
1-Spring Garden,East,Tuesday,Full service,1 To Bridge Terminal,February,16,4:35,5:08,0:33,12%,10:35,5:27,119%,9:49,0:07,235
1-Spring Garden,East,Tuesday,Full service,1 To Bridge Terminal,February,17,5:25,5:51,0:26,8%,10:41,4:50,89%,6:59,0:10,225
1-Spring Garden,East,Tuesday,Full service,1 To Bridge Terminal,February,18,4:32,5:02,0:30,11%,9:54,4:52,107%,9:10,0:08,273
1-Spring Garden,East,Tuesday,Full service,1 To Bridge Terminal,February,19,9:30,9:37,0:07,1%,9:45,0:08,1%,2:34,0:06,194
1-Spring Garden,East,Tuesday,Full service,1 To Bridge Terminal,February,20,10:24,14:19,3:55,38%,15:14,0:55,9%,0:25,0:04,173
1-Spring Garden,East,Tuesday,Full service,1 To Bridge Terminal,February,21,10:29,10:42,0:13,2%,10:46,0:04,1%,9:10,0:04,184
1-Spring Garden,East,Tuesday,Full service,1 To Bridge Terminal,February,22,9:31,9:44,0:13,2%,9:56,0:12,2%,1:28,0:04,300
1-Spring Garden,East,Tuesday,Full service,1 To Bridge Terminal,February,23,10:00,10:34,0:34,6%,10:57,0:23,4%,6:20,0:03,187
1-Spring Garden,West,Wednesday,Full service,1 Spring Garden,February,5,10:11,10:13,0:02,0%,10:19,0:06,1%,0:12,0:04,195
1-Spring Garden,West,Wednesday,Full service,1 Spring Garden,February,6,9:33,10:00,0:27,5%,10:13,0:13,2%,2:01,0:06,270
1-Spring Garden,West,Wednesday,Full service,1 Spring Garden,February,7,4:45,4:45,0:00,0%,11:20,6:35,139%,7:45,0:11,345
1-Spring Garden,West,Wednesday,Full service,1 Spring Garden,February,8,5:25,20:13,14:48,273%,22:14,2:01,37%,7:55,0:08,297
1-Spring Garden,West,Wednesday,Full service,1 Spring Garden,February,9,5:18,5:53,0:35,11%,10:04,4:11,79%,7:43,0:11,292
1-Spring Garden,West,Wednesday,Full service,1 Spring Garden,February,10,10:26,11:03,0:37,6%,11:39,0:36,6%,1:57,0:02,261
1-Spring Garden,West,Wednesday,Full service,1 Spring Garden,February,11,9:33,12:37,3:04,32%,13:06,0:29,5%,4:18,0:06,259
1-Spring Garden,West,Wednesday,Full service,1 Spring Garden,February,12,9:38,14:03,4:25,46%,14:16,0:13,2%,2:11,0:03,300
1-Spring Garden,West,Wednesday,Full service,1 Spring Garden,February,13,10:27,10:37,0:10,2%,10:38,0:01,0%,-0:17,0:02,221
1-Spring Garden,West,Wednesday,Full service,1 Spring Garden,February,14,10:29,10:54,0:25,4%,11:50,0:56,9%,0:28,0:06,235
1-Spring Garden,West,Wednesday,Full service,1 Spring Garden,February,15,10:13,22:16,12:03,118%,22:50,0:34,6%,0:53,0:06,292
1-Spring Garden,West,Wednesday,Full service,1 Spring Garden,February,16,4:33,4:51,0:18,7%,8:17,3:26,75%,4:01,0:09,406
1-Spring Garden,West,Wednesday,Full service,1 Spring Garden,February,17,4:43,8:55,4:12,89%,11:52,2:57,63%,8:45,0:12,444
1-Spring Garden,West,Wednesday,Full service,1 Spring Garden,February,18,5:04,18:31,13:27,265%,24:18,5:47,114%,4:46,0:10,442
1-Spring Garden,West,Wednesday,Full service,1 Spring Garden,February,19,9:49,17:05,7:16,74%,17:06,0:01,0%,1:58,0:05,202
1-Spring Garden,West,Wednesday,Full service,1 Spring Garden,February,20,9:37,18:49,9:12,96%,19:00,0:11,2%,-0:10,0:04,164
1-Spring Garden,West,Wednesday,Full service,1 Spring Garden,February,21,10:28,10:28,0:00,0%,11:06,0:38,6%,0:47,0:03,253
1-Spring Garden,West,Wednesday,Full service,1 Spring Garden,February,22,9:55,10:11,0:16,3%,11:01,0:50,8%,-0:20,0:06,225
1-Spring Garden,West,Wednesday,Full service,1 Spring Garden,February,23,9:33,10:04,0:31,5%,10:24,0:20,3%,12:49,0:03,174
1-Spring Garden,West,Thursday,Full service,1 To Bridge Terminal,February,5,9:48,19:02,9:14,94%,19:46,0:44,7%,0:06,0:05,219
1-Spring Garden,West,Thursday,Full service,1 To Bridge Terminal,February,6,9:57,14:51,4:54,49%,15:25,0:34,6%,2:56,0:04,274
1-Spring Garden,West,Thursday,Full service,1 To Bridge Terminal,February,7,4:36,14:09,9:33,208%,19:58,5:49,126%,4:47,0:10,447
